"U, mV","L1, µH","L2, µH","?U, mV","dL1, µH","dL2, µH","T, K","d(T), K","d(U), mV",róznica L1,róznica L2,,,,,,Z U(i+1),,Z U(i+2),,Z U(i+3),,Z U(i+4),Z U(i+4),Z U(i+5),,Z U(i+6),,Z U(i+7),,Z U(i+8),,Z U(i+9),,Z U(i+10),,Z U(i+11),,Z U(i+12),
"0,5","37,1",,"0,03025","0,942",,"301,527701554157","0,551714240121136","0,017464845642986","0,008281572871573",0,,,,"T, K","U, mV",a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b
1,"37,2",,"0,0305","0,944",,"313,60270246893","0,554383592024557","0,017609183210284","0,008281572871572",0,,,,373,"3,46","0,041","-11,833","0,0415","-12,0195","0,041333333333333","-11,9573333333333","0,0415","-12,0195","0,0414","-11,9822","0,041333333333333","-11,9573333333333","0,041428571428571","-11,9928571428571","0,041375","-11,972875","0,041444444444445","-11,9987777777778","0,0414","-11,9822","0,041363636363636","-11,9686363636364","0,041416666666667","-11,9884166666667"
"1,5","37,3",,"0,03075","0,946",,"325,677703383703","0,557061964597154","0,017753520777581","0,016563145743146",0,,,,383,"3,87","0,042","-12,216","0,0415","-12,0245","0,041666666666667","-12,0883333333333","0,0415","-12,0245","0,0414","-11,9862","0,0415","-12,0245","0,041428571428571","-11,9971428571429","0,0415","-12,0245","0,041444444444444","-12,0032222222222","0,0414","-11,9862","0,041454545454546","-12,0070909090909",,
2,"37,5",,"0,031","0,95",,"337,752704298476","0,559749228348564","0,017897858344878","0,008281572871573","3,13043454545454",,,,393,"4,29","0,041","-11,823","0,0415","-12,0195","0,041333333333333","-11,954","0,04125","-11,92125","0,0414","-11,9802","0,041333333333333","-11,954","0,041428571428571","-11,9914285714286","0,041375","-11,970375","0,041333333333333","-11,954","0,0414","-11,9802",,,,
"2,5","37,6","37,8","0,03125","0,952","0,956","349,827705213249","0,562445255837372","0,018042195912176","0,008281572871573","0,008281572871573",,,,403,"4,7","0,042","-12,226","0,0415","-12,0245","0,041333333333333","-11,9573333333333","0,0415","-12,0245","0,0414","-11,9842","0,0415","-12,0245","0,041428571428571","-11,9957142857143","0,041375","-11,974125","0,041444444444444","-12,0021111111111",,,,,,
3,"37,7","37,9","0,0315","0,954","0,958","361,902706128021","0,565149921642305","0,018186533479473","0,008281572871572","0,008281572871573",,,,413,"5,12","0,041","-11,813","0,041","-11,813","0,041333333333333","-11,9506666666667","0,04125","-11,91625","0,0414","-11,9782","0,041333333333333","-11,9506666666667","0,041285714285714","-11,931","0,041375","-11,967875",,,,,,,,
"3,5","37,8",38,"0,03175","0,956","0,96","373,977707042794","0,567863102333495","0,018330871046771","0,008281572871573","0,008281572871573",,,,423,"5,53","0,041","-11,813","0,0415","-12,0245","0,041333333333333","-11,954","0,0415","-12,0245","0,0414","-11,9822","0,041333333333333","-11,954","0,041428571428571","-11,9942857142857",,,,,,,,,,
4,"37,9","38,1","0,032","0,958","0,962","386,052707957567","0,57058467644384","0,018475208614068",0,"0,008281572871573",,,,433,"5,94","0,042","-12,246","0,0415","-12,0295","0,041666666666667","-12,1016666666667","0,0415","-12,0295","0,0414","-11,9862","0,0415","-12,0295",,,,,,,,,,,,
"4,5","37,9","38,2","0,03225","0,958","0,964","398,12770887234","0,573314524440471","0,018619546181365",0,0,,,,443,"6,36","0,041","-11,803","0,0415","-12,0245","0,041333333333333","-11,9506666666667","0,04125","-11,91375","0,0414","-11,9802",,,,,,,,,,,,,,
"4,6","37,9","38,2","0,0323","0,958","0,964","400,542709055294","0,573861476521749","0,018648413694825",0,0,,,,453,"6,77","0,042","-12,256","0,0415","-12,0295","0,041333333333333","-11,954","0,0415","-12,0295",,,,,,,,,,,,,,,,
"4,7","37,9","38,2","0,03235","0,958","0,964","402,957709238249","0,574408753915439","0,018677281208284",0,0,,,,463,"7,19","0,041","-11,793","0,041","-11,793","0,041333333333333","-11,9473333333333",,,,,,,,,,,,,,,,,,
"4,8","37,9","38,2","0,0324","0,958","0,964","405,372709421204","0,574956355692586","0,018706148721744",0,"0,041407864357861",,,,473,"7,60","0,041","-11,793","0,0415","-12,0295",,,,,,,,,,,,,,,,,,,,
"4,9","37,9","38,3","0,03245","0,958","0,966","407,787709604158","0,575504280927223","0,018735016235203",0,"-0,041407864357863",,,,483,"8,01","0,042","-12,276",,,,,,,,,,,,,,,,,,,,,,
5,"37,9","38,2","0,0325","0,958","0,964","410,202709787113","0,576052528696357","0,018763883748663",0,0,,,,493,"8,43",,,,,,,,,,,,,,,,,,,,,,,,
"5,1","37,9","38,2","0,03255","0,958","0,964","412,617709970067","0,576601098079965","0,018792751262122","-0,041407864357865",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,2","37,8","38,2","0,0326","0,956","0,964","415,032710153022","0,577149988160984","0,018821618775582",0,"-0,041407864357864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,3","37,8","38,1","0,03265","0,956","0,962","417,447710335976","0,577699198025298","0,018850486289041","-0,041407864357861","-0,041407864357864",,,,,,a,b,,,,,,,,,,,,,,,,,,,,,,
"5,4","37,7",38,"0,0327","0,954","0,96","419,862710518931","0,578248726761736","0,018879353802501","-0,041407864357865","-0,082815728715731",,,,,srednia,"0,041407864357864","-11,9856181660932",,,,,,,,,,,,,,,,,,,,,,
"5,5","37,6","37,8","0,03275","0,952","0,956","422,277710701886","0,578798573462058","0,01890822131596","-0,082815728715732","-0,207039321789328",,,,,"odchylenie standardowe, 
czyli niepewnosc standardowa
(nie dziel przez sqrt(3))","2,47387132557554E-05","0,010785105123247",,,,,,,,,,,,,,,,,,,,,,
